theta,F1 above
0.5,0.9830890642615557
0.525,0.9830890642615557
0.55,0.9841986455981941
0.575,0.9841986455981941
0.6,0.9841986455981941
0.625,0.9852774631936579
0.65,0.9852774631936579
0.675,0.9852774631936579
0.7,0.9852774631936579
0.725,0.9852774631936579
0.75,0.9863945578231292
0.775,0.9863945578231292
0.8,0.9875141884222474
0.825,0.9875141884222474
0.8500000000000001,0.9875141884222474
0.875,0.9875141884222474
0.9,0.9886363636363636
0.925,0.9897610921501706
0.95,0.992018244013683
0.9750000000000001,0.9931350114416475
1.0,1.0
