theta,ratio above
0.5,1.0
0.525,0.944954128440367
0.55,0.8990825688073395
0.575,0.8532110091743119
0.6,0.8073394495412844
0.625,0.7706422018348624
0.65,0.7339449541284404
0.675,0.6605504587155964
0.7,0.6238532110091743
0.725,0.6055045871559633
0.75,0.5596330275229358
0.775,0.5229357798165137
0.8,0.5045871559633027
0.825,0.48623853211009177
0.8500000000000001,0.4036697247706422
0.875,0.3394495412844037
0.9,0.27522935779816515
0.925,0.23853211009174313
0.95,0.1926605504587156
0.9750000000000001,0.1559633027522936
1.0,0.0
