ratio,F1
0.0,0.2833333333333334
0.015,0.2857142857142857
0.03,0.288135593220339
0.045,0.288135593220339
0.06,0.2905982905982906
0.075,0.29565217391304344
0.09,0.2982456140350877
0.105,0.3008849557522124
0.12,0.3063063063063063
0.135,0.3090909090909091
0.15,0.3119266055045872
0.16499999999999998,0.3148148148148148
0.18,0.32075471698113206
0.195,0.3269230769230769
0.21,0.3300970873786408
0.22499999999999998,0.33333333333333337
0.24,0.34
0.255,0.34
0.27,0.346938775510204
0.285,0.3505154639175258
0.3,0.3541666666666667
