theta,F1 above
0.5,0.21359223300970873
0.525,0.21359223300970873
0.55,0.21359223300970873
0.575,0.21359223300970873
0.6,0.21359223300970873
0.625,0.21359223300970873
0.65,0.21359223300970873
0.675,0.21359223300970873
0.7,0.21359223300970873
0.725,0.21359223300970873
0.75,0.21359223300970873
0.775,0.21568627450980393
0.8,0.21568627450980393
0.825,0.21568627450980393
0.8500000000000001,0.21568627450980393
0.875,0.21568627450980393
0.9,0.21999999999999997
0.925,0.2222222222222222
0.95,0.2268041237113402
0.9750000000000001,0.1842105263157895
1.0,1.0
