,theta,f1_above,f1_all,ratio_above
0,0.5,0.36800000000000005,0.36800000000000005,1.0
1,0.5263157894736842,0.3833333333333333,0.421875,0.8990825688073395
2,0.5526315789473684,0.39534883720930236,0.5094339622641509,0.6330275229357798
3,0.5789473684210527,0.5,0.870967741935484,0.11009174311926606
4,0.6052631578947368,0.42857142857142855,0.870967741935484,0.10091743119266056
5,0.631578947368421,0.4615384615384615,0.8852459016393442,0.09174311926605505
6,0.6578947368421053,0.25,0.9,0.06422018348623854
7,0.6842105263157895,0.0,0.9818181818181818,0.009174311926605505
8,0.7105263157894737,1.0,1.0,0.0
9,0.7368421052631579,1.0,1.0,0.0
10,0.763157894736842,1.0,1.0,0.0
11,0.7894736842105263,1.0,1.0,0.0
12,0.8157894736842105,1.0,1.0,0.0
13,0.8421052631578947,1.0,1.0,0.0
14,0.868421052631579,1.0,1.0,0.0
15,0.8947368421052632,1.0,1.0,0.0
16,0.9210526315789473,1.0,1.0,0.0
17,0.9473684210526315,1.0,1.0,0.0
18,0.9736842105263157,1.0,1.0,0.0
19,1.0,1.0,1.0,0.0
