ratio,F1
0.0,0.6274509803921569
0.015,0.6630286493860845
0.03,0.7002652519893898
0.045,0.7265625
0.06,0.7541401273885352
0.075,0.7790262172284644
0.09,0.7911001236093943
0.105,0.7955665024630542
0.12,0.7985257985257985
0.135,0.8053855569155447
0.15,0.8083028083028083
0.16499999999999998,0.8436018957345972
0.18,0.8651162790697675
0.195,0.8716763005780348
0.21,0.8742791234140715
0.22499999999999998,0.8820160366552119
0.24,0.8871151653363739
0.255,0.8909090909090909
0.27,0.8934240362811791
0.285,0.8959276018099547
0.3,0.8996617812852311
