theta,F1 above
0.5,0.953810623556582
0.525,0.9549132947976878
0.55,0.9560185185185186
0.575,0.9560185185185186
0.6,0.9560185185185186
0.625,0.9571263035921206
0.65,0.9571263035921206
0.675,0.959349593495935
0.7,0.959349593495935
0.725,0.959349593495935
0.75,0.9604651162790697
0.775,0.9604651162790697
0.8,0.9627039627039627
0.825,0.9638273045507585
0.8500000000000001,0.9648711943793911
0.875,0.9647887323943661
0.9,0.9647058823529412
0.925,0.9645390070921986
0.95,0.9655990510083037
0.9750000000000001,0.967113276492083
1.0,1.0
