theta,F1 above
0.5,0.6976047904191617
0.525,0.6989409984871408
0.55,0.6989409984871408
0.575,0.6989409984871408
0.6,0.6992366412213741
0.625,0.6993865030674847
0.65,0.7004608294930875
0.675,0.703875968992248
0.7,0.7053291536050156
0.725,0.7086614173228346
0.75,0.7142857142857143
0.775,0.7145135566188198
0.8,0.7175324675324676
0.825,0.7182866556836903
0.8500000000000001,0.7178631051752921
0.875,0.7208121827411168
0.9,0.7191780821917808
0.925,0.7250437828371279
0.95,0.7237076648841353
0.9750000000000001,0.7356746765249537
1.0,0.0
