theta,ratio above
0.5,1.0
0.525,0.9983825313384553
0.55,0.997573797007683
0.575,0.9955519611807522
0.6,0.9939344925192074
0.625,0.9919126566922766
0.65,0.9902951880307319
0.675,0.9878689850384149
0.7,0.9866558835422564
0.725,0.9842296805499393
0.75,0.983420946219167
0.775,0.9818034775576223
0.8,0.9793772745653053
0.825,0.9777598059037607
0.8500000000000001,0.9761423372422159
0.875,0.9745248685806712
0.9,0.9733117670845127
0.925,0.9700768297614234
0.95,0.964415689446017
0.9750000000000001,0.9450060655074808
1.0,0.0
