theta,F1 above
0.5,0.9759999999999999
0.525,0.9770114942528736
0.55,0.9792626728110598
0.575,0.9792147806004619
0.6,0.9791183294663574
0.625,0.9790697674418605
0.65,0.9790697674418605
0.675,0.9789719626168225
0.7,0.9812646370023419
0.725,0.9835294117647059
0.75,0.9834905660377359
0.775,0.983451536643026
0.8,0.983451536643026
0.825,0.9846153846153846
0.8500000000000001,0.985781990521327
0.875,0.9857142857142858
0.9,0.986857825567503
0.925,0.9868263473053893
0.95,0.9878934624697338
0.9750000000000001,0.9900744416873448
1.0,0.0
