ratio,F1
0.0,0.8776796973518285
0.015,0.9007444168734491
0.03,0.9234507897934386
0.045,0.9427207637231504
0.06,0.9672897196261683
0.075,0.9768518518518519
0.09,0.9850746268656716
0.105,0.9862385321100917
0.12,0.9862385321100917
0.135,0.9873997709049255
0.15,0.9873997709049255
0.16499999999999998,0.9873997709049255
0.18,0.9873997709049255
0.195,0.9873997709049255
0.21,0.9885583524027459
0.22499999999999998,0.9897142857142857
0.24,0.9931662870159453
0.255,0.994311717861206
0.27,0.996594778660613
0.285,0.9988674971687429
0.3,1.0
