theta,ratio above
0.5,1.0
0.525,1.0
0.55,0.9983825313384553
0.575,0.997573797007683
0.6,0.9951475940153659
0.625,0.9939344925192074
0.65,0.9923170238576627
0.675,0.9906995551961181
0.7,0.9886777193691872
0.725,0.9870602507076426
0.75,0.9854427820460978
0.775,0.983420946219167
0.8,0.9793772745653053
0.825,0.9777598059037607
0.8500000000000001,0.976546704407602
0.875,0.9737161342498989
0.9,0.9708855640921957
0.925,0.9676506267691064
0.95,0.9607763849575415
0.9750000000000001,0.9498584714921149
1.0,0.0
