ratio,F1
0.0,0.8607918263090676
0.015,0.8877805486284289
0.03,0.9037037037037037
0.045,0.9168704156479216
0.06,0.9168704156479216
0.075,0.9195121951219511
0.09,0.9195121951219511
0.105,0.9206349206349206
0.12,0.9206349206349206
0.135,0.9206349206349206
0.15,0.9206349206349206
0.16499999999999998,0.921951219512195
0.18,0.9323671497584541
0.195,0.9375
0.21,0.9413173652694611
0.22499999999999998,0.9463647199046484
0.24,0.9488703923900119
0.255,0.9488703923900119
0.27,0.9501187648456058
0.285,0.9513641755634639
0.3,0.9513641755634639
