theta,F1 above
0.5,0.9886104783599089
0.525,0.9897377423033067
0.55,0.9897377423033067
0.575,0.9908675799086758
0.6,0.9908466819221968
0.625,0.9919261822376009
0.65,0.9919261822376009
0.675,0.9930715935334873
0.7,0.9930715935334873
0.725,0.9942196531791907
0.75,0.9942196531791907
0.775,0.9953703703703705
0.8,0.9953488372093023
0.825,0.9965075669383003
0.8500000000000001,0.9964830011723328
0.875,0.9964747356051704
0.9,0.9964664310954063
0.925,0.9976415094339622
0.95,0.9976190476190476
0.9750000000000001,0.998805256869773
1.0,1.0
