theta,F1 above
0.5,0.9934497816593886
0.525,0.9934497816593886
0.55,0.9945355191256832
0.575,0.9945355191256832
0.6,0.9945355191256832
0.625,0.9945355191256832
0.65,0.9956140350877193
0.675,0.9955947136563877
0.7,0.9955947136563877
0.725,0.9955849889624724
0.75,0.9955849889624724
0.775,0.9955849889624724
0.8,0.995575221238938
0.825,0.9955555555555555
0.8500000000000001,0.9955156950672646
0.875,0.995475113122172
0.9,0.9954545454545456
0.925,0.9954233409610984
0.95,0.996523754345307
0.9750000000000001,0.9964912280701755
1.0,1.0
