theta,F1 above
0.5,0.8556832694763729
0.525,0.8556832694763729
0.55,0.8578745198463509
0.575,0.858974358974359
0.6,0.8622908622908622
0.625,0.8634020618556701
0.65,0.8656330749354006
0.675,0.8656330749354006
0.7,0.8667529107373869
0.725,0.8717277486910995
0.75,0.8751642575558476
0.775,0.8783068783068784
0.8,0.8783068783068784
0.825,0.8794701986754968
0.8500000000000001,0.8791500664010624
0.875,0.8799999999999999
0.9,0.8820375335120645
0.925,0.8832214765100671
0.95,0.8834688346883469
0.9750000000000001,0.887966804979253
1.0,0.0
