theta,ratio above
0.5,1.0
0.525,0.9995956328346138
0.55,0.9995956328346138
0.575,0.9991912656692277
0.6,0.9987868985038415
0.625,0.9987868985038415
0.65,0.9983825313384553
0.675,0.997573797007683
0.7,0.9967650626769107
0.725,0.9959563283461383
0.75,0.9955519611807522
0.775,0.9943388596845936
0.8,0.9911039223615042
0.825,0.9890820865345734
0.8500000000000001,0.9862515163768703
0.875,0.9830165790537808
0.9,0.9797816417306915
0.925,0.9773554387383745
0.95,0.9725030327537404
0.9750000000000001,0.9640113222806308
1.0,0.0
