theta,F1 above
0.5,0.6516516516516516
0.525,0.6513761467889909
0.55,0.6521739130434782
0.575,0.6509433962264152
0.6,0.65086887835703
0.625,0.657051282051282
0.65,0.6568627450980391
0.675,0.6567164179104478
0.7,0.6666666666666666
0.725,0.6735751295336787
0.75,0.6761061946902654
0.775,0.6739526411657558
0.8,0.6666666666666666
0.825,0.676056338028169
0.8500000000000001,0.6721991701244813
0.875,0.6752136752136751
0.9,0.688888888888889
0.925,0.6974595842956121
0.95,0.7254901960784313
0.9750000000000001,0.748051948051948
1.0,1.0
