theta,ratio above
0.5,1.0
0.525,1.0
0.55,0.9991912656692277
0.575,0.9971694298422968
0.6,0.9951475940153659
0.625,0.9943388596845936
0.65,0.9931257581884351
0.675,0.9915082895268904
0.7,0.9886777193691872
0.725,0.9866558835422564
0.75,0.983420946219167
0.775,0.9818034775576223
0.8,0.9793772745653053
0.825,0.9777598059037607
0.8500000000000001,0.9753336029114436
0.875,0.9720986655883542
0.9,0.9692680954306511
0.925,0.9636069551152446
0.95,0.9543065103113627
0.9750000000000001,0.9458147998382531
1.0,0.0
