theta,ratio above
0.5,1.0
0.525,0.9991912656692277
0.55,0.9979781641730692
0.575,0.997573797007683
0.6,0.9971694298422968
0.625,0.9947432268499797
0.65,0.9943388596845936
0.675,0.9939344925192074
0.7,0.9919126566922766
0.725,0.9911039223615042
0.75,0.9906995551961181
0.775,0.9886777193691872
0.8,0.9862515163768703
0.825,0.9842296805499393
0.8500000000000001,0.9818034775576223
0.875,0.98099474322685
0.9,0.9797816417306915
0.925,0.9781641730691468
0.95,0.9741205014152851
0.9750000000000001,0.9652244237767893
1.0,0.0
