theta,ratio above
0.5,1.0
0.525,0.9995956328346138
0.55,0.9987868985038415
0.575,0.9987868985038415
0.6,0.9983825313384553
0.625,0.9979781641730692
0.65,0.9963606955115245
0.675,0.9943388596845936
0.7,0.9935301253538212
0.725,0.9927213910230489
0.75,0.9923170238576627
0.775,0.9911039223615042
0.8,0.9898908208653457
0.825,0.9890820865345734
0.8500000000000001,0.9882733522038011
0.875,0.9874646178730287
0.9,0.9850384148807116
0.925,0.983420946219167
0.95,0.9801860088960777
0.9750000000000001,0.9716942984229681
1.0,0.7852810351799434
