ratio,F1
0.0,0.7061923583662715
0.015,0.7493606138107417
0.03,0.7769423558897243
0.045,0.7960444993819531
0.06,0.8019680196801968
0.075,0.8034398034398035
0.09,0.8121951219512196
0.105,0.8179611650485438
0.12,0.8222490931076178
0.135,0.8265060240963856
0.15,0.8279181708784596
0.16499999999999998,0.8321342925659472
0.18,0.8390941597139452
0.195,0.8404761904761904
0.21,0.8446026097271647
0.22499999999999998,0.8486997635933807
0.24,0.8527679623085984
0.255,0.8541176470588235
0.27,0.8568075117370891
0.285,0.8648018648018648
0.3,0.8700696055684455
