ratio,F1
0.0,0.6798179059180578
0.015,0.7357664233576642
0.03,0.7610872675250359
0.045,0.7842031029619181
0.06,0.8093922651933702
0.075,0.8257887517146776
0.09,0.8301369863013698
0.105,0.8396739130434783
0.12,0.8396739130434783
0.135,0.845945945945946
0.15,0.8506056527590848
0.16499999999999998,0.8673740053050397
0.18,0.8673740053050397
0.195,0.8688741721854304
0.21,0.8733509234828496
0.22499999999999998,0.8763157894736842
0.24,0.8777923784494086
0.255,0.8792650918635171
0.27,0.8807339449541284
0.285,0.8821989528795812
0.3,0.8836601307189542
