ratio,F1
0.0,0.856447688564477
0.015,0.8806682577565633
0.03,0.8981042654028436
0.045,0.9120750293083235
0.06,0.9284064665127022
0.075,0.9308755760368663
0.09,0.9331797235023043
0.105,0.9344073647871116
0.12,0.9356321839080459
0.135,0.9380733944954128
0.15,0.9380733944954128
0.16499999999999998,0.9392898052691867
0.18,0.9453302961275627
0.195,0.9513023782559457
0.21,0.9536723163841808
0.22499999999999998,0.9548532731376976
0.24,0.9548532731376976
0.255,0.956031567080045
0.27,0.9607182940516273
0.285,0.9607182940516273
0.3,0.9607182940516273
