theta,ratio above
0.5,1.0
0.525,0.9991912656692277
0.55,0.9987868985038415
0.575,0.9979781641730692
0.6,0.9971694298422968
0.625,0.9971694298422968
0.65,0.9967650626769107
0.675,0.9963606955115245
0.7,0.9955519611807522
0.725,0.9951475940153659
0.75,0.9951475940153659
0.775,0.9939344925192074
0.8,0.9919126566922766
0.825,0.9906995551961181
0.8500000000000001,0.9902951880307319
0.875,0.9886777193691872
0.9,0.9866558835422564
0.925,0.9850384148807116
0.95,0.9813991103922362
0.9750000000000001,0.9757379700768297
1.0,0.0
