theta,F1 above
0.5,0.9862068965517242
0.525,0.9873417721518988
0.55,0.9873417721518988
0.575,0.9873417721518988
0.6,0.9873417721518988
0.625,0.9873417721518988
0.65,0.9895953757225433
0.675,0.9895953757225433
0.7,0.9895953757225433
0.725,0.9895953757225433
0.75,0.9907407407407407
0.775,0.9907407407407407
0.8,0.9907407407407407
0.825,0.9918887601390498
0.8500000000000001,0.9918887601390498
0.875,0.991869918699187
0.9,0.991812865497076
0.925,0.9929577464788732
0.95,0.9929411764705882
0.9750000000000001,0.9952267303102627
1.0,1.0
