theta,ratio above
0.5,1.0
0.525,0.9991912656692277
0.55,0.9991912656692277
0.575,0.9987868985038415
0.6,0.9983825313384553
0.625,0.9983825313384553
0.65,0.997573797007683
0.675,0.9971694298422968
0.7,0.9971694298422968
0.725,0.9959563283461383
0.75,0.9947432268499797
0.775,0.9939344925192074
0.8,0.9939344925192074
0.825,0.9939344925192074
0.8500000000000001,0.9939344925192074
0.875,0.9939344925192074
0.9,0.9935301253538212
0.925,0.9931257581884351
0.95,0.9906995551961181
0.9750000000000001,0.9842296805499393
1.0,0.0
