theta,F1 above
0.5,0.984304932735426
0.525,0.9854096520763187
0.55,0.9876265466816648
0.575,0.9876265466816648
0.6,0.9876265466816648
0.625,0.9876265466816648
0.65,0.987598647125141
0.675,0.9875706214689265
0.7,0.9886621315192744
0.725,0.9886363636363636
0.75,0.9908883826879271
0.775,0.9908883826879271
0.8,0.9908883826879271
0.825,0.9919816723940436
0.8500000000000001,0.9919816723940436
0.875,0.9931192660550459
0.9,0.9931192660550459
0.925,0.9931192660550459
0.95,0.9931034482758622
0.9750000000000001,0.9953488372093023
1.0,1.0
