ratio,F1
0.0,0.7978290366350068
0.015,0.83289124668435
0.03,0.845442536327609
0.045,0.8708010335917312
0.06,0.8877551020408164
0.075,0.8973384030418251
0.09,0.9012658227848102
0.105,0.904040404040404
0.12,0.904040404040404
0.135,0.904040404040404
0.15,0.905422446406053
0.16499999999999998,0.905422446406053
0.18,0.9217391304347826
0.195,0.9297163995067818
0.21,0.9362745098039216
0.22499999999999998,0.9362745098039216
0.24,0.9375764993880049
0.255,0.9401709401709402
0.27,0.9401709401709402
0.285,0.9427527405602923
0.3,0.945321992709599
