ratio,F1
0.0,0.9851767388825542
0.015,0.9897610921501706
0.03,0.9954648526077098
0.045,0.996594778660613
0.06,0.9977272727272727
0.075,0.9977272727272727
0.09,0.9977272727272727
0.105,0.9988623435722412
0.12,0.9988623435722412
0.135,0.9988623435722412
0.15,0.9988623435722412
0.16499999999999998,0.9988623435722412
0.18,0.9988623435722412
0.195,0.9988623435722412
0.21,0.9988623435722412
0.22499999999999998,0.9988623435722412
0.24,0.9988623435722412
0.255,0.9988623435722412
0.27,0.9988623435722412
0.285,0.9988623435722412
0.3,0.9988623435722412
