ratio,F1
0.0,0.7952443857331571
0.015,0.8277634961439589
0.03,0.8553459119496856
0.045,0.8731343283582089
0.06,0.8866995073891626
0.075,0.8959608323133414
0.09,0.8986568986568987
0.105,0.9013398294762486
0.12,0.9040097205346295
0.135,0.9040097205346295
0.15,0.9053398058252426
0.16499999999999998,0.909310761789601
0.18,0.9158653846153847
0.195,0.9197604790419162
0.21,0.9223416965352449
0.22499999999999998,0.9249106078665078
0.24,0.9261904761904762
0.255,0.9274673008323424
0.27,0.9274673008323424
0.285,0.9287410926365796
0.3,0.9312796208530806
