theta,F1 above
0.5,0.9885321100917431
0.525,0.9907834101382489
0.55,0.9907834101382489
0.575,0.9907834101382489
0.6,0.9907834101382489
0.625,0.9919261822376009
0.65,0.9930715935334872
0.675,0.9942196531791908
0.7,0.9942062572421785
0.725,0.9942062572421785
0.75,0.9941927990708479
0.775,0.9941927990708479
0.8,0.9941927990708479
0.825,0.9953271028037383
0.8500000000000001,0.9953271028037383
0.875,0.9953161592505856
0.9,0.9952941176470589
0.925,0.9952718676122931
0.95,0.9952267303102627
0.9750000000000001,0.9951219512195123
1.0,1.0
