ratio,F1
0.0,0.9724972497249724
0.015,0.98787210584344
0.03,0.9933920704845814
0.045,0.9955849889624724
0.06,0.9955849889624724
0.075,0.9966850828729282
0.09,0.9966850828729282
0.105,0.997787610619469
0.12,0.997787610619469
0.135,0.9988950276243094
0.15,0.9988950276243094
0.16499999999999998,0.9988950276243094
0.18,0.9988950276243094
0.195,0.9988950276243094
0.21,0.9988950276243094
0.22499999999999998,0.9988950276243094
0.24,0.9988950276243094
0.255,0.9988950276243094
0.27,0.9988950276243094
0.285,0.9988950276243094
0.3,0.9988950276243094
