theta,F1 above
0.5,0.7978290366350068
0.525,0.7983651226158037
0.55,0.8005464480874317
0.575,0.801641586867305
0.6,0.8010973936899863
0.625,0.8060941828254846
0.65,0.8072122052704577
0.675,0.8083333333333333
0.7,0.8106591865357643
0.725,0.8112676056338028
0.75,0.8124118476727785
0.775,0.8131241084165478
0.8,0.8160919540229885
0.825,0.8173913043478261
0.8500000000000001,0.8187134502923976
0.875,0.8193832599118944
0.9,0.8177777777777777
0.925,0.8202080237741457
0.95,0.8210526315789474
0.9750000000000001,0.8286604361370717
1.0,1.0
