theta,F1 above
0.5,0.8037889039242219
0.525,0.8038147138964576
0.55,0.8049113233287857
0.575,0.8076923076923077
0.6,0.8082758620689656
0.625,0.8111111111111111
0.65,0.8095238095238094
0.675,0.8101983002832861
0.7,0.8136557610241819
0.725,0.8154506437768241
0.75,0.8167388167388168
0.775,0.8191027496382055
0.8,0.8192419825072885
0.825,0.8240469208211143
0.8500000000000001,0.8226527570789867
0.875,0.8253012048192772
0.9,0.8233486943164362
0.925,0.8229813664596273
0.95,0.8267090620031797
0.9750000000000001,0.8379705400981998
1.0,1.0
