theta,F1 above
0.5,0.9823008849557522
0.525,0.9822616407982261
0.55,0.9833518312985573
0.575,0.9833518312985573
0.6,0.9833518312985573
0.625,0.9833518312985573
0.65,0.9833518312985573
0.675,0.9833518312985573
0.7,0.9833147942157953
0.725,0.9844097995545658
0.75,0.9844097995545658
0.775,0.9865470852017937
0.8,0.9865470852017937
0.825,0.9865168539325843
0.8500000000000001,0.9865168539325843
0.875,0.9875424688561721
0.9,0.9897377423033068
0.925,0.9897377423033068
0.95,0.9907834101382489
0.9750000000000001,0.9964497041420118
1.0,1.0
