theta,F1 above
0.5,0.6876876876876878
0.525,0.6898638426626323
0.55,0.6899696048632219
0.575,0.6932515337423312
0.6,0.6955177743431222
0.625,0.6978193146417446
0.65,0.7021943573667712
0.675,0.7036450079239303
0.7,0.7070063694267515
0.725,0.7075928917609047
0.75,0.7077922077922079
0.775,0.7079934747145188
0.8,0.7105263157894737
0.825,0.7131011608623549
0.8500000000000001,0.7157190635451504
0.875,0.7171717171717171
0.9,0.7174280879864635
0.925,0.7184801381692573
0.95,0.7227191413237924
0.9750000000000001,0.7318982387475538
1.0,1.0
