theta,ratio above
0.5,1.0
0.525,0.9987868985038415
0.55,0.9983825313384553
0.575,0.9979781641730692
0.6,0.9963606955115245
0.625,0.9927213910230489
0.65,0.9911039223615042
0.675,0.9890820865345734
0.7,0.9882733522038011
0.725,0.9870602507076426
0.75,0.9854427820460978
0.775,0.9842296805499393
0.8,0.9830165790537808
0.825,0.98099474322685
0.8500000000000001,0.978568540234533
0.875,0.976546704407602
0.9,0.9737161342498989
0.925,0.9680549939344926
0.95,0.9632025879498585
0.9750000000000001,0.955115244642135
1.0,0.0
