theta,ratio above
0.5,1.0
0.525,0.9979781641730692
0.55,0.9959563283461383
0.575,0.9939344925192074
0.6,0.9923170238576627
0.625,0.9911039223615042
0.65,0.9886777193691872
0.675,0.9854427820460978
0.7,0.9842296805499393
0.725,0.9822078447230085
0.75,0.9789729073999192
0.775,0.9769510715729883
0.8,0.9753336029114436
0.825,0.9737161342498989
0.8500000000000001,0.9725030327537404
0.875,0.9716942984229681
0.9,0.9680549939344926
0.925,0.9627982207844723
0.95,0.9587545491306106
0.9750000000000001,0.945410432672867
1.0,0.0
