,ratio,f1_all
0,0.0,0.8536585365853658
1,0.015789473684210527,0.8823529411764707
2,0.031578947368421054,0.9046454767726161
3,0.04736842105263158,0.921951219512195
4,0.06315789473684211,0.9362745098039216
5,0.07894736842105263,0.9481481481481482
6,0.09473684210526316,0.9530864197530864
7,0.1105263157894737,0.9580246913580247
8,0.12631578947368421,0.967741935483871
9,0.14210526315789473,0.967741935483871
10,0.15789473684210525,0.9702970297029703
11,0.1736842105263158,0.9752475247524751
12,0.18947368421052632,0.9777777777777776
13,0.20526315789473684,0.9802955665024631
14,0.2210526315789474,0.9802955665024631
15,0.2368421052631579,0.9827160493827161
16,0.25263157894736843,0.9852216748768473
17,0.26842105263157895,0.9852216748768473
18,0.28421052631578947,0.9852216748768473
19,0.3,0.9852216748768473
