,theta,f1_above,f1_all,ratio_above
0,0.5,0.6237623762376238,0.6237623762376238,1.0
1,0.5263157894736842,0.6237113402061856,0.6386138613861386,0.9926931106471816
2,0.5526315789473684,0.6259946949602122,0.6501240694789082,0.9864300626304802
3,0.5789473684210527,0.6353591160220996,0.6764705882352942,0.9791231732776617
4,0.6052631578947368,0.6420454545454546,0.6881188118811882,0.9728601252609603
5,0.631578947368421,0.648809523809524,0.7064676616915423,0.9629436325678496
6,0.6578947368421053,0.6518987341772152,0.7236180904522612,0.9545929018789144
7,0.6842105263157895,0.6556291390728477,0.7386934673366835,0.9467640918580376
8,0.7105263157894737,0.6689655172413794,0.7551020408163266,0.9394572025052192
9,0.7368421052631579,0.6690647482014387,0.7653061224489796,0.9326722338204593
10,0.763157894736842,0.6793893129770993,0.7857142857142857,0.923277661795407
11,0.7894736842105263,0.6885245901639345,0.8061224489795918,0.9102296450939458
12,0.8157894736842105,0.6944444444444445,0.8307692307692308,0.8940501043841336
13,0.8421052631578947,0.6744186046511629,0.854922279792746,0.8721294363256785
14,0.868421052631579,0.5346534653465346,0.8772845953002611,0.8376826722338204
15,0.8947368421052632,0.36065573770491804,0.8976377952755905,0.8131524008350731
16,0.9210526315789473,0.3111111111111111,0.9190600522193211,0.7865344467640919
17,0.9473684210526315,0.0,0.9381443298969072,0.7458246346555324
18,0.9736842105263157,0.0,0.9595959595959597,0.657098121085595
19,1.0,1.0,1.0,0.0
