,theta,f1_above,f1_all,ratio_above
0,0.5,0.9292337725719864,0.9292337725719864,1.0
1,0.5263157894736842,0.9306443679291687,0.9313200194836824,0.9979101358411703
2,0.5526315789473684,0.9314257523433646,0.9322281813749391,0.9968652037617555
3,0.5789473684210527,0.9335996005991014,0.9352167559668778,0.9942528735632183
4,0.6052631578947368,0.9335347432024169,0.935672514619883,0.9926854754440961
5,0.631578947368421,0.9353689567430026,0.9382596013612057,0.98989898989899
6,0.6578947368421053,0.9367609254498714,0.9402041808458921,0.987634970393591
7,0.6842105263157895,0.9376947040498442,0.9416909620991253,0.9857192615813305
8,0.7105263157894737,0.9418604651162791,0.94675701839303,0.9818878439568095
9,0.7368421052631579,0.9431939978563771,0.9487427466150871,0.9791013584117032
10,0.763157894736842,0.9439912996193583,0.9502655721873492,0.9754440961337513
11,0.7894736842105263,0.9448123620309051,0.9517374517374517,0.9728317659352143
12,0.8157894736842105,0.9478458049886621,0.9556412729026037,0.9677812608847092
13,0.8421052631578947,0.9498249708284714,0.958614051973051,0.9625566004876349
14,0.868421052631579,0.951923076923077,0.9615014436958614,0.9573319400905608
15,0.8947368421052632,0.9542892924232937,0.9649207111965402,0.9503657262277951
16,0.9210526315789473,0.9569251159708416,0.9687950072011522,0.9413096482061999
17,0.9473684210526315,0.9577464788732394,0.9727142173288654,0.9254615116684082
18,0.9736842105263157,0.9584599797365755,0.9805040418449834,0.8895855102751654
19,1.0,1.0,1.0,0.0
