,theta,f1_above,f1_all,ratio_above
0,0.5,0.919607843137255,0.919607843137255,1.0
1,0.5263157894736842,0.9261477045908184,0.9278048780487804,0.9952978056426333
2,0.5526315789473684,0.9284994964753273,0.9308666017526777,0.9930337861372344
3,0.5789473684210527,0.9290454313425216,0.9322942036044812,0.9904214559386973
4,0.6052631578947368,0.9314079422382671,0.935342732134176,0.9879832810867294
5,0.631578947368421,0.9334032511798637,0.9382596013612057,0.9845001741553465
6,0.6578947368421053,0.9358288770053477,0.94180407371484,0.9806687565308255
7,0.6842105263157895,0.9402823018458197,0.9467054263565892,0.9770114942528736
8,0.7105263157894737,0.9439822518025514,0.951231289232255,0.9724834552420759
9,0.7368421052631579,0.9474872953133823,0.9551807228915662,0.9690003483106931
10,0.763157894736842,0.9495652173913044,0.9581529581529581,0.9637756879136189
11,0.7894736842105263,0.9515366430260048,0.9606147934678194,0.9599442702890979
12,0.8157894736842105,0.9542961608775137,0.9639596347909659,0.9547196098920236
13,0.8421052631578947,0.9559748427672956,0.966346153846154,0.9494949494949495
14,0.868421052631579,0.957095709570957,0.9687950072011522,0.9421804249390456
15,0.8947368421052632,0.9560906515580736,0.9702780441035476,0.9329501915708812
16,0.9210526315789473,0.9584964761158965,0.9746774964166269,0.9198885405781958
17,0.9473684210526315,0.9597754911131899,0.9794945159752027,0.8986415882967607
18,0.9736842105263157,0.9381818181818181,0.9838556505223172,0.8488331591779867
19,1.0,1.0,1.0,0.0
