,theta,f1_above,f1_all,ratio_above
0,0.5,0.7938144329896906,0.7938144329896906,1.0
1,0.5263157894736842,0.7989556135770234,0.8,0.9980478282088824
2,0.5526315789473684,0.8010471204188482,0.8031088082901554,0.9965836993655441
3,0.5789473684210527,0.8095238095238094,0.8125,0.9936554416788678
4,0.6052631578947368,0.8116710875331565,0.8155844155844156,0.9931673987310884
5,0.631578947368421,0.8108108108108107,0.8177083333333333,0.9902391410444119
6,0.6578947368421053,0.8108108108108107,0.8177083333333333,0.9897510980966325
7,0.6842105263157895,0.8131868131868132,0.8238341968911919,0.9848706686188384
8,0.7105263157894737,0.8179271708683473,0.8329048843187661,0.9809663250366032
9,0.7368421052631579,0.8262108262108263,0.8423772609819121,0.9760858955588092
10,0.763157894736842,0.8323699421965317,0.8512820512820511,0.9736456808199122
11,0.7894736842105263,0.8338192419825073,0.8534704370179949,0.972181551976574
12,0.8157894736842105,0.8377581120943953,0.8578811369509043,0.9702293801854563
13,0.8421052631578947,0.8408408408408409,0.8623376623376622,0.9673011224987799
14,0.868421052631579,0.836923076923077,0.8623376623376622,0.9643728648121035
15,0.8947368421052632,0.84472049689441,0.8697916666666666,0.9594924353343094
16,0.9210526315789473,0.8498402555910544,0.877284595300261,0.9531478770131772
17,0.9473684210526315,0.8486842105263157,0.8795811518324607,0.9428989751098097
18,0.9736842105263157,0.8571428571428572,0.8900523560209423,0.9253294289897511
19,1.0,1.0,1.0,0.0
