,ratio,f1_all
0,0.0,0.84375
1,0.015789473684210527,0.8776595744680852
2,0.031578947368421054,0.9052631578947369
3,0.04736842105263158,0.9222797927461139
4,0.06315789473684211,0.927461139896373
5,0.07894736842105263,0.935064935064935
6,0.09473684210526316,0.9378238341968912
7,0.1105263157894737,0.9430051813471503
8,0.12631578947368421,0.9506493506493506
9,0.14210526315789473,0.9533678756476683
10,0.15789473684210525,0.9558441558441558
11,0.1736842105263158,0.9585492227979274
12,0.18947368421052632,0.9585492227979274
13,0.20526315789473684,0.961038961038961
14,0.2210526315789474,0.9635416666666666
15,0.2368421052631579,0.9635416666666666
16,0.25263157894736843,0.9635416666666666
17,0.26842105263157895,0.9662337662337663
18,0.28421052631578947,0.9689119170984456
19,0.3,0.9689119170984456
