,theta,f1_above,f1_all,ratio_above
0,0.5,0.8235294117647058,0.8235294117647058,1.0
1,0.5263157894736842,0.9032258064516129,0.9032258064516129,0.9340659340659341
2,0.5526315789473684,0.9090909090909091,0.9333333333333333,0.8681318681318682
3,0.5789473684210527,0.923076923076923,0.9655172413793104,0.8131868131868132
4,0.6052631578947368,0.888888888888889,0.9655172413793104,0.7912087912087912
5,0.631578947368421,1.0,1.0,0.7692307692307693
6,0.6578947368421053,1.0,1.0,0.7252747252747253
7,0.6842105263157895,0.0,1.0,0.7032967032967034
8,0.7105263157894737,0.0,1.0,0.6593406593406593
9,0.7368421052631579,0.0,1.0,0.6373626373626373
10,0.763157894736842,0.0,1.0,0.6043956043956044
11,0.7894736842105263,0.0,1.0,0.5824175824175825
12,0.8157894736842105,0.0,1.0,0.5604395604395604
13,0.8421052631578947,0.0,1.0,0.5384615384615384
14,0.868421052631579,0.0,1.0,0.5384615384615384
15,0.8947368421052632,0.0,1.0,0.5164835164835165
16,0.9210526315789473,0.0,1.0,0.5164835164835165
17,0.9473684210526315,0.0,1.0,0.45054945054945056
18,0.9736842105263157,0.0,1.0,0.21978021978021978
19,1.0,1.0,1.0,0.0
