,ratio,f1_all
0,0.0,0.9777777777777777
1,0.015789473684210527,0.9777777777777777
2,0.031578947368421054,1.0
3,0.04736842105263158,1.0
4,0.06315789473684211,1.0
5,0.07894736842105263,1.0
6,0.09473684210526316,1.0
7,0.1105263157894737,1.0
8,0.12631578947368421,1.0
9,0.14210526315789473,1.0
10,0.15789473684210525,1.0
11,0.1736842105263158,1.0
12,0.18947368421052632,1.0
13,0.20526315789473684,1.0
14,0.2210526315789474,1.0
15,0.2368421052631579,1.0
16,0.25263157894736843,1.0
17,0.26842105263157895,1.0
18,0.28421052631578947,1.0
19,0.3,1.0
