,theta,f1_above,f1_all,ratio_above
0,0.5,0.9523809523809523,0.9523809523809523,1.0
1,0.5263157894736842,0.9523809523809523,0.9523809523809523,1.0
2,0.5526315789473684,0.9523809523809523,0.9523809523809523,1.0
3,0.5789473684210527,0.9523809523809523,0.9523809523809523,1.0
4,0.6052631578947368,0.9523809523809523,0.9523809523809523,1.0
5,0.631578947368421,0.975609756097561,0.9767441860465117,0.9947089947089947
6,0.6578947368421053,1.0,1.0,0.9894179894179894
7,0.6842105263157895,1.0,1.0,0.9894179894179894
8,0.7105263157894737,1.0,1.0,0.9894179894179894
9,0.7368421052631579,1.0,1.0,0.9894179894179894
10,0.763157894736842,1.0,1.0,0.9894179894179894
11,0.7894736842105263,1.0,1.0,0.9894179894179894
12,0.8157894736842105,1.0,1.0,0.9894179894179894
13,0.8421052631578947,1.0,1.0,0.9894179894179894
14,0.868421052631579,1.0,1.0,0.9894179894179894
15,0.8947368421052632,1.0,1.0,0.9894179894179894
16,0.9210526315789473,1.0,1.0,0.9894179894179894
17,0.9473684210526315,1.0,1.0,0.9894179894179894
18,0.9736842105263157,1.0,1.0,0.9841269841269841
19,1.0,1.0,1.0,0.0
