,theta,f1_above,f1_all,ratio_above
0,0.5,0.14035087719298248,0.14035087719298248,1.0
1,0.5263157894736842,0.07079646017699115,0.23913043478260868,0.9699084169210641
2,0.5526315789473684,0.010204081632653062,0.3071428571428572,0.9568251199302225
3,0.5789473684210527,0.0,0.3392226148409894,0.9502834714348015
4,0.6052631578947368,0.0,0.3578947368421052,0.9485390318360227
5,0.631578947368421,0.0,0.3636363636363636,0.9476668120366333
6,0.6578947368421053,0.0,0.3636363636363636,0.9472307021369385
7,0.6842105263157895,0.0,0.3693379790940766,0.9459223724378544
8,0.7105263157894737,0.0,0.3972602739726028,0.9389446140427388
9,0.7368421052631579,0.0,0.42424242424242425,0.930658525948539
10,0.763157894736842,0.0,0.4755700325732899,0.9153946794592237
11,0.7894736842105263,0.0,0.5189873417721518,0.9005669428696031
12,0.8157894736842105,0.0,0.5818181818181819,0.8783253379851723
13,0.8421052631578947,0.0,0.6355685131195334,0.8530309638028784
14,0.868421052631579,0.0,0.689075630252101,0.8168338421282163
15,0.8947368421052632,0.0,0.745308310991957,0.7583951155691234
16,0.9210526315789473,0.0,0.7969151670951157,0.6960313999127781
17,0.9473684210526315,0.0,0.8501228501228502,0.6040122110771915
18,0.9736842105263157,0.0,0.9870129870129869,0.06105538595726123
19,1.0,1.0,1.0,0.0
